Month,Item,Value
201808,Stout - take home (50cl can),2.243
201808,Filtered cigarettes per 20 pk,12.059
201808,Stout - draught bar (1 pint),4.589
201808,Lager - draught bar (1 pint),4.977
201808,Lager - bar (33cl bottle),4.864
201808,Cider - draught bar (1 pint),5.083
201808,Ale - draught bar (1 pint),4.636
201808,Cider - bar (33cl bottle),5.045
201808,Flavoured alcoholic drink - bar (275ml bottle),5.554
201808,Whiskey - bar (single) per ½ glass,4.42
201808,Brandy - bar (single) per ½ glass,4.839
201808,Vodka - bar (single) per ½ glass,4.444
201808,Wine - bar (187ml bottle),
201808,Diesel per litre,1.359
201808,Petrol - unleaded per litre,1.465
201808,Cinema fee,9.954
201808,Nightclubs fee,9.091
201808,Gent's dry cut fee,12.748
201808,"Gent's wash, cut, and blow dry fee",
201808,"Ladies' wash, cut and blow dry fee",40.019
201809,"White, self raising flour per 2 kg",2.259
201809,"Brown, wholemeal flour per 2 kg",2.764
201809,"Bread, white sliced pan, large (800g)",1.285
201809,"Bread, brown sliced pan, large (800g)",1.413
201809,Spaghetti per 500g,1.085
201809,Sirloin steak per kg,15.693
201809,Striploin steak per kg,19.94
201809,Roast beef - topside or rib per kg,13.728
201809,Sliced / diced beef pieces per kg,9.512
201809,Pork loin chops per kg,7.549
201809,Pork steak per kg,8.819
201809,Lamb - whole leg / half leg per kg,11.45
201809,Lamb loin chops per kg,17.005
201809,Lamb gigot chops per kg,
201809,Uncooked chicken medium size 1.6kg,4.688
201809,Lamb's liver per kg,5.8
201809,Ham fillet per kg,5.476
201809,Cooked ham per kg,17.806
201809,Best back rashers per kg,9.187
201809,Pork sausages per kg,5.942
201809,Fresh fillet of whiting per kg,
201809,Fresh fillet of cod per kg,16.819
201809,Fresh salmon per kg,21.284
201809,Fresh fillet of plaice per kg,
201809,Fresh hake per kg,13.934
201809,Smoked salmon per kg,31.924
201809,Full fat milk per 2 litre,1.7
201809,Low fat milk per 1 litre,1.037
201809,Irish cheddar per kg,9.543
201809,Large eggs per half dozen,1.718
201809,Medium eggs per half dozen,1.421
201809,Butter per lb,3.019
201809,Grapes per kg,4.865
201809,Bananas per kg,1.404
201809,Tomatoes per kg,3.097
201809,Onions per kg,1.075
201809,Broccoli per kg,2.628
201809,Carrots per kg,1.16
201809,Mushrooms per kg,3.894
201809,Tomatoes tinned per 400g,0.858
201809,Potatoes 2.5 kg,3.509
201809,Potatoes 7.5 kg,5.909
201809,Potatoes 10 kg,
201809,White granulated sugar per 1 kg,1.288
201809,Jam per lb,1.163
201809,Marmalade per lb,1.964
201809,Tea bags per 80,2.918
201809,Orange juice per litre,1.396
201809,Whiskey - take home (70cl bottle),25.674
201809,Brandy - take home (70cl bottle),31.31
201809,Vodka - take home (70cl bottle),19.109
201809,Cream liqueur - take home (70cl bottle),17.411
201809,Wine - take home (75cl bottle),
201809,Cider - take home (50cl can),2.084
201809,Sherry - take home (75cl bottle),
201809,Lager - take home (50cl can),1.986
201809,Stout - take home (50cl can),2.25
201809,Filtered cigarettes per 20 pk,12.057
201809,Stout - draught bar (1 pint),4.612
201809,Lager - draught bar (1 pint),4.992
201809,Lager - bar (33cl bottle),4.885
201809,Cider - draught bar (1 pint),5.104
201809,Ale - draught bar (1 pint),4.661
201809,Cider - bar (33cl bottle),5.043
201809,Flavoured alcoholic drink - bar (275ml bottle),5.566
201809,Whiskey - bar (single) per ½ glass,4.44
201809,Brandy - bar (single) per ½ glass,4.842
201809,Vodka - bar (single) per ½ glass,4.46
201809,Wine - bar (187ml bottle),
201809,Diesel per litre,1.367
201809,Petrol - unleaded per litre,1.472
201809,Cinema fee,9.956
201809,Nightclubs fee,9.204
201809,Gent's dry cut fee,12.672
201809,"Gent's wash, cut, and blow dry fee",
201809,"Ladies' wash, cut and blow dry fee",40.199
201810,"White, self raising flour per 2 kg",2.149
201810,"Brown, wholemeal flour per 2 kg",2.749
201810,"Bread, white sliced pan, large (800g)",1.286
201810,"Bread, brown sliced pan, large (800g)",1.378
201810,Spaghetti per 500g,1.084
201810,Sirloin steak per kg,14.444
201810,Striploin steak per kg,21.428
201810,Roast beef - topside or rib per kg,13.439
201810,Sliced / diced beef pieces per kg,10.337
201810,Pork loin chops per kg,7.726
201810,Pork steak per kg,8.583
201810,Lamb - whole leg / half leg per kg,11.115
201810,Lamb loin chops per kg,17.178
201810,Lamb gigot chops per kg,
201810,Uncooked chicken medium size 1.6kg,4.625
201810,Lamb's liver per kg,5.857
201810,Ham fillet per kg,5.473
201810,Cooked ham per kg,18.27
201810,Best back rashers per kg,9.331
201810,Pork sausages per kg,6.007
201810,Fresh fillet of whiting per kg,
201810,Fresh fillet of cod per kg,14.661
201810,Fresh salmon per kg,19.922
201810,Fresh fillet of plaice per kg,
201810,Fresh hake per kg,15.01
201810,Smoked salmon per kg,31.931
201810,Full fat milk per 2 litre,1.692
201810,Low fat milk per 1 litre,1.029
201810,Irish cheddar per kg,9.77
201810,Large eggs per half dozen,1.697
201810,Medium eggs per half dozen,1.431
201810,Butter per lb,3.043
201810,Grapes per kg,4.788
