Month,Item,Value
201507,"White, self raising flour per 2 kg",2.418
201507,"Brown, wholemeal flour per 2 kg",3.039
201507,"Bread, white sliced pan, large (800g)",1.252
201507,"Bread, brown sliced pan, large (800g)",1.364
201507,Spaghetti per 500g,1.067
201507,Sirloin steak per kg,15.824
201507,Striploin steak per kg,21.92
201507,Roast beef - topside or rib per kg,12.993
201507,Sliced / diced beef pieces per kg,10.344
201507,Pork loin chops per kg,8.501
201507,Pork steak per kg,8.777
201507,Lamb - whole leg / half leg per kg,11.082
201507,Lamb loin chops per kg,18.028
201507,Lamb gigot chops per kg,12.928
201507,Uncooked chicken medium size 1.6kg,5.29
201507,Lamb's liver per kg,5.826
201507,Ham fillet per kg,5.792
201507,Cooked ham per kg,16.921
201507,Best back rashers per kg,10.035
201507,Pork sausages per kg,5.913
201507,Fresh fillet of whiting per kg,10.672
201507,Fresh fillet of cod per kg,16.504
201507,Fresh salmon per kg,18.278
201507,Fresh fillet of plaice per kg,18.584
201507,Fresh hake per kg,
201507,Smoked salmon per kg,29.942
201507,Full fat milk per 2 litre,1.715
201507,Low fat milk per 1 litre,1.047
201507,Irish cheddar per kg,10.288
201507,Large eggs per half dozen,1.861
201507,Medium eggs per half dozen,1.616
201507,Butter per lb,2.73
201507,Grapes per kg,5.092
201507,Bananas per kg,1.363
201507,Tomatoes per kg,2.981
201507,Onions per kg,1.113
201507,Broccoli per kg,3.086
201507,Carrots per kg,1.282
201507,Mushrooms per kg,4.362
201507,Tomatoes tinned per 400g,0.894
201507,Potatoes 2.5 kg,2.796
201507,Potatoes 7.5 kg,
201507,Potatoes 10 kg,4.852
201507,White granulated sugar per 1 kg,1.279
201507,Jam per lb,1.474
201507,Marmalade per lb,2.022
201507,Tea bags per 80,2.54
201507,Orange juice per litre,1.569
201507,Whiskey - take home (70cl bottle),25.144
201507,Brandy - take home (70cl bottle),30.453
201507,Vodka - take home (70cl bottle),19.246
201507,Cream liqueur - take home (70cl bottle),16.358
201507,Wine - take home (75cl bottle),10.568
201507,Cider - take home (50cl can),2.323
201507,Sherry - take home (75cl bottle),13.449
201507,Lager - take home (50cl can),1.933
201507,Stout - take home (50cl can),2.215
201507,Filtered cigarettes per 20 pk,9.987
201507,Stout - draught bar (1 pint),4.306
201507,Lager - draught bar (1 pint),4.682
201507,Lager - bar (33cl bottle),4.62
201507,Cider - draught bar (1 pint),4.752
201507,Ale - draught bar (1 pint),4.361
201507,Cider - bar (33cl bottle),4.728
201507,Flavoured alcoholic drink - bar (275ml bottle),5.297
201507,Whiskey - bar (single) per ½ glass,4.073
201507,Brandy - bar (single) per ½ glass,4.58
201507,Vodka - bar (single) per ½ glass,4.115
201507,Wine - bar (187ml bottle),5.322
201507,Diesel per litre,1.318
201507,Petrol - unleaded per litre,1.457
201507,Cinema fee,9.327
201507,Nightclubs fee,9.405
201507,Gent's dry cut fee,11.827
201507,"Gent's wash, cut, and blow dry fee",17.666
201507,"Ladies' wash, cut and blow dry fee",38.507
201508,"White, self raising flour per 2 kg",2.425
201508,"Brown, wholemeal flour per 2 kg",3.047
201508,"Bread, white sliced pan, large (800g)",1.25
201508,"Bread, brown sliced pan, large (800g)",1.365
201508,Spaghetti per 500g,1.092
201508,Sirloin steak per kg,15.115
201508,Striploin steak per kg,22.837
201508,Roast beef - topside or rib per kg,12.901
201508,Sliced / diced beef pieces per kg,10.353
201508,Pork loin chops per kg,7.9
201508,Pork steak per kg,9.221
201508,Lamb - whole leg / half leg per kg,10.778
201508,Lamb loin chops per kg,18.742
201508,Lamb gigot chops per kg,13.103
201508,Uncooked chicken medium size 1.6kg,5.213
201508,Lamb's liver per kg,5.818
201508,Ham fillet per kg,5.895
201508,Cooked ham per kg,17.347
201508,Best back rashers per kg,10.192
201508,Pork sausages per kg,5.947
201508,Fresh fillet of whiting per kg,10.932
201508,Fresh fillet of cod per kg,16.568
201508,Fresh salmon per kg,18.843
201508,Fresh fillet of plaice per kg,18.757
201508,Fresh hake per kg,
201508,Smoked salmon per kg,29.498
201508,Full fat milk per 2 litre,1.716
201508,Low fat milk per 1 litre,1.044
201508,Irish cheddar per kg,10.304
201508,Large eggs per half dozen,1.873
201508,Medium eggs per half dozen,1.563
201508,Butter per lb,2.725
201508,Grapes per kg,4.977
201508,Bananas per kg,1.365
201508,Tomatoes per kg,2.934
201508,Onions per kg,1.102
201508,Broccoli per kg,3.083
201508,Carrots per kg,1.303
201508,Mushrooms per kg,4.385
201508,Tomatoes tinned per 400g,0.926
201508,Potatoes 2.5 kg,2.921
201508,Potatoes 7.5 kg,
201508,Potatoes 10 kg,5.404
201508,White granulated sugar per 1 kg,1.281
201508,Jam per lb,1.391
201508,Marmalade per lb,1.924
201508,Tea bags per 80,2.678
201508,Orange juice per litre,1.566
201508,Whiskey - take home (70cl bottle),25.125
201508,Brandy - take home (70cl bottle),31.07
201508,Vodka - take home (70cl bottle),19.293
201508,Cream liqueur - take home (70cl bottle),16.64
201508,Wine - take home (75cl bottle),10.661
201508,Cider - take home (50cl can),2.265
201508,Sherry - take home (75cl bottle),14.163
201508,Lager - take home (50cl can),1.916
201508,Stout - take home (50cl can),2.22
201508,Filtered cigarettes per 20 pk,9.988
201508,Stout - draught bar (1 pint),4.305
201508,Lager - draught bar (1 pint),4.679
201508,Lager - bar (33cl bottle),4.622
201508,Cider - draught bar (1 pint),4.756
201508,Ale - draught bar (1 pint),4.361
201508,Cider - bar (33cl bottle),4.727
201508,Flavoured alcoholic drink - bar (275ml bottle),5.296
201508,Whiskey - bar (single) per ½ glass,4.071
201508,Brandy - bar (single) per ½ glass,4.576
201508,Vodka - bar (single) per ½ glass,4.12
201508,Wine - bar (187ml bottle),5.315
201508,Diesel per litre,1.276
201508,Petrol - unleaded per litre,1.428
201508,Cinema fee,9.205
201508,Nightclubs fee,9.436
201508,Gent's dry cut fee,11.855
201508,"Gent's wash, cut, and blow dry fee",17.686
201508,"Ladies' wash, cut and blow dry fee",38.534
201509,"White, self raising flour per 2 kg",2.409
201509,"Brown, wholemeal flour per 2 kg",3.072
201509,"Bread, white sliced pan, large (800g)",1.253
201509,"Bread, brown sliced pan, large (800g)",1.345
201509,Spaghetti per 500g,1.083
201509,Sirloin steak per kg,16.192
201509,Striploin steak per kg,22.961
201509,Roast beef - topside or rib per kg,13.033
201509,Sliced / diced beef pieces per kg,10.142
201509,Pork loin chops per kg,8.439
201509,Pork steak per kg,9.573
201509,Lamb - whole leg / half leg per kg,11.57
201509,Lamb loin chops per kg,16.905
201509,Lamb gigot chops per kg,12.996
201509,Uncooked chicken medium size 1.6kg,5.14
201509,Lamb's liver per kg,5.836
201509,Ham fillet per kg,5.842
201509,Cooked ham per kg,16.506
201509,Best back rashers per kg,10.255
201509,Pork sausages per kg,5.95
201509,Fresh fillet of whiting per kg,10.811
201509,Fresh fillet of cod per kg,14.545
201509,Fresh salmon per kg,17.345
201509,Fresh fillet of plaice per kg,19.295
201509,Fresh hake per kg,
201509,Smoked salmon per kg,28.993
201509,Full fat milk per 2 litre,1.718
201509,Low fat milk per 1 litre,1.046
201509,Irish cheddar per kg,10.701
201509,Large eggs per half dozen,1.885
201509,Medium eggs per half dozen,1.608
201509,Butter per lb,2.732
201509,Grapes per kg,5.005
201509,Bananas per kg,1.37
201509,Tomatoes per kg,2.96
201509,Onions per kg,1.098
201509,Broccoli per kg,2.883
201509,Carrots per kg,1.212
201509,Mushrooms per kg,4.356
201509,Tomatoes tinned per 400g,0.874
201509,Potatoes 2.5 kg,3.21
201509,Potatoes 7.5 kg,
201509,Potatoes 10 kg,6.862
201509,White granulated sugar per 1 kg,1.28
201509,Jam per lb,1.409
201509,Marmalade per lb,1.951
201509,Tea bags per 80,2.564
201509,Orange juice per litre,1.555
201509,Whiskey - take home (70cl bottle),26.157
201509,Brandy - take home (70cl bottle),31.112
201509,Vodka - take home (70cl bottle),19.294
201509,Cream liqueur - take home (70cl bottle),17.282
201509,Wine - take home (75cl bottle),10.65
201509,Cider - take home (50cl can),2.26
201509,Sherry - take home (75cl bottle),14.244
201509,Lager - take home (50cl can),1.925
201509,Stout - take home (50cl can),2.218
201509,Filtered cigarettes per 20 pk,9.987
201509,Stout - draught bar (1 pint),4.312
201509,Lager - draught bar (1 pint),4.689
201509,Lager - bar (33cl bottle),4.63
201509,Cider - draught bar (1 pint),4.766
201509,Ale - draught bar (1 pint),4.369
201509,Cider - bar (33cl bottle),4.743
201509,Flavoured alcoholic drink - bar (275ml bottle),5.309
201509,Whiskey - bar (single) per ½ glass,4.081
201509,Brandy - bar (single) per ½ glass,4.586
201509,Vodka - bar (single) per ½ glass,4.127
201509,Wine - bar (187ml bottle),5.326
201509,Diesel per litre,1.219
201509,Petrol - unleaded per litre,1.365
201509,Cinema fee,9.172
201509,Nightclubs fee,9.091
201509,Gent's dry cut fee,11.855
201509,"Gent's wash, cut, and blow dry fee",17.67
201509,"Ladies' wash, cut and blow dry fee",38.507
201510,"White, self raising flour per 2 kg",2.279
201510,"Brown, wholemeal flour per 2 kg",3.023
201510,"Bread, white sliced pan, large (800g)",1.252
201510,"Bread, brown sliced pan, large (800g)",1.348
201510,Spaghetti per 500g,1.076
201510,Sirloin steak per kg,15.913
201510,Striploin steak per kg,23.063
201510,Roast beef - topside or rib per kg,13.101
201510,Sliced / diced beef pieces per kg,10.407
201510,Pork loin chops per kg,8.516
201510,Pork steak per kg,9.548
201510,Lamb - whole leg / half leg per kg,10.98
201510,Lamb loin chops per kg,17.014
201510,Lamb gigot chops per kg,12.11
201510,Uncooked chicken medium size 1.6kg,5.162
201510,Lamb's liver per kg,5.828
201510,Ham fillet per kg,5.862
201510,Cooked ham per kg,17.254
201510,Best back rashers per kg,10.285
201510,Pork sausages per kg,5.92
201510,Fresh fillet of whiting per kg,10.086
201510,Fresh fillet of cod per kg,17.312
201510,Fresh salmon per kg,18.121
201510,Fresh fillet of plaice per kg,18.438
